Dato,Retning,Hul,Liter,Maskine,Højde,Bemærkning,Person,Cleanup,Brush
16/04/2023,,1,4,,,,,No,
16/04/2023,,2,6,,,,,No,
16/04/2023,,3,5,,,,,No,
16/04/2023,,4,8,,,,,No,
16/04/2023,,5,4,,,,,No,
16/04/2023,,6,6,,,,,No,
16/04/2023,,7,"6,5",,,,,No,
16/04/2023,,8,4,,,,,No,
16/04/2023,,9,5,,,,,No,
16/04/2023,,10,6,,,,,No,
16/04/2023,,11,6,,,,,No,
16/04/2023,,12,7,,,,,No,
16/04/2023,,13,7,,,,,No,
16/04/2023,,14,5,,,,,No,
16/04/2023,,15,7,,,,,No,
16/04/2023,,16,6,,,,,No,
16/04/2023,,17,7,,,,,No,
16/04/2023,,18,4,,,,,No,
16/04/2023,,19,3,,,,,No,
16/04/2023,,20,1,,,,,No,
18/04/2023,,1,2,,,,,No,
18/04/2023,,2,"1,5",,,,,No,
18/04/2023,,3,3,,,,,No,
18/04/2023,,4,"1,5",,,,,No,
18/04/2023,,5,2,,,,,No,
18/04/2023,,6,3,,,,,No,
18/04/2023,,7,3,,,,,No,
18/04/2023,,8,2,,,,,No,
18/04/2023,,9,1,,,,,No,
18/04/2023,,10,2,,,,,No,
18/04/2023,,11,2,,,,,No,
18/04/2023,,12,3,,,,,No,
18/04/2023,,13,4,,,,,No,
18/04/2023,,14,4,,,,,No,
18/04/2023,,15,3,,,,,No,
18/04/2023,,16,4,,,,,No,
18/04/2023,,17,4,,,,,No,
18/04/2023,,18,1,,,,,No,
18/04/2023,,19,"0,5",,,,,No,
18/04/2023,,20,"0,5",,,,,Yes,
30/04/2023,,1,5,,,,,Yes,
30/04/2023,,2,7,,,,,Yes,
30/04/2023,,3,5,,,,,Yes,
30/04/2023,,4,7,,,,,Yes,
30/04/2023,,5,7,,,,,Yes,
30/04/2023,,6,8,,,,,Yes,
30/04/2023,,7,9,,,,,Yes,
30/04/2023,,8,5,,,,,Yes,
30/04/2023,,9,6,,,,,Yes,
30/04/2023,,10,7,,,,,Yes,
30/04/2023,,11,6,,,,,Yes,
30/04/2023,,12,9,,,,,Yes,
30/04/2023,,13,6,,,,,Yes,
30/04/2023,,14,8,,,,,Yes,
30/04/2023,,15,7,,,,,Yes,
30/04/2023,,16,7,,,,,Yes,
30/04/2023,,17,9,,,,,Yes,
30/04/2023,,18,5,,,,,Yes,
30/04/2023,,19,5,,,,,Yes,
30/04/2023,,20,2,,,,,Yes,
12/05/2023,,1,4,,,,,,
12/05/2023,,2,0,,,,,,
12/05/2023,,3,4,,,,,,
12/05/2023,,4,6,,,,,,
12/05/2023,,5,4,,,,,,
12/05/2023,,6,4,,,,,,
12/05/2023,,7,5,,,,,,
12/05/2023,,8,3,,,,,,
12/05/2023,,9,5,,,,,,
12/05/2023,,10,4,,,,,,
12/05/2023,,11,5,,,,,,
12/05/2023,,12,5,,,,,,
12/05/2023,,13,5,,,,,,
12/05/2023,,14,5,,,,,,
12/05/2023,,15,5,,,,,,
12/05/2023,,16,6,,,,,,
12/05/2023,,17,5,,,,,,
